분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
AN000,주석기호,,,,,,,,,,,,,,
AN100,도면표기,,,,,,,,,,,,,,
,,110.0,기본표기,,,,,,,,,,,,
,,,,111.0,도면명,AN111,AN111-도면명,○,,,AN111-도면명 ,,,,
,,,,,,,AN111-뷰이름,○,,,AN111-뷰이름 ,,,,
,,,,,,,AN111-도면명 좌정렬,○,,"A (원,번호,제목)","AN111-도면명 좌정렬 A (원,번호,제목)",,,,
,,,,,,,,○,,"A (원,번호,제목,축척)","AN111-도면명 좌정렬 A (원,번호,제목,축척)",,,,
,,,,,,,,○,,B (제목),AN111-도면명 좌정렬 B (제목),,,,
,,,,,,,,○,,"B (번호,제목)","AN111-도면명 좌정렬 B (번호,제목)",,,,
,,,,,,,,○,,"B (원,번호,제목)","AN111-도면명 좌정렬 B (원,번호,제목)",,,,
,,,,,,,,○,,"B (원,번호,제목,축척)","AN111-도면명 좌정렬 B (원,번호,제목,축척)",,,,
,,,,,,,AN111-도면명 좌우정렬,○,,"A (원,번호,제목)","AN111-도면명 좌우정렬 A (원,번호,제목)",,,,
,,,,,,,,○,,"A (원,번호,제목,축척)","AN111-도면명 좌우정렬 A (원,번호,제목,축척)",,,,
,,,,,,,,○,,B (제목),AN111-도면명 좌우정렬 B (제목),,,,
,,,,,,,,○,,"B (번호,제목)","AN111-도면명 좌우정렬 B (번호,제목)",,,,
,,,,,,,,○,,"B (원,번호,제목)","AN111-도면명 좌우정렬 B (원,번호,제목)",,,,
,,,,,,,,○,,"B (원,번호,제목,축척)","AN111-도면명 좌우정렬 B (원,번호,제목,축척)",,,,
,,,,,,,AN111-Viewport,주석,in,,AN111-Viewport ,,,,
,,,,,,,,,in,"좌정렬 A (원,번호,제목)","AN111-Viewport 좌정렬 A (원,번호,제목)",,,,
,,,,,,,,,in,"좌정렬 A (원,번호,제목,축척)","AN111-Viewport 좌정렬 A (원,번호,제목,축척)",,,,
,,,,,,,,,in,좌정렬 B (제목),AN111-Viewport 좌정렬 B (제목),,,,
,,,,,,,,,in,"좌정렬 B (번호,제목)","AN111-Viewport 좌정렬 B (번호,제목)",,,,
,,,,,,,,,in,"좌정렬 B (원,번호,제목)","AN111-Viewport 좌정렬 B (원,번호,제목)",,,,
,,,,,,,,,in,"좌정렬 B (원,번호,제목,축척)","AN111-Viewport 좌정렬 B (원,번호,제목,축척)",,,,
,,,,,,,,,in,"좌우정렬 A (원,번호,제목)","AN111-Viewport 좌우정렬 A (원,번호,제목)",,,,
,,,,,,,,,in,"좌우정렬 A (원,번호,제목,축척)","AN111-Viewport 좌우정렬 A (원,번호,제목,축척)",,,,
,,,,,,,,,in,좌우정렬 B (제목),AN111-Viewport 좌우정렬 B (제목),,,,
,,,,,,,,,in,"좌우정렬 B (번호,제목)","AN111-Viewport 좌우정렬 B (번호,제목)",,,,
,,,,,,,,,in,"좌우정렬 B (원,번호,제목)","AN111-Viewport 좌우정렬 B (원,번호,제목)",,,,
,,,,,,,,,in,"좌우정렬 B (원,번호,제목,축척)","AN111-Viewport 좌우정렬 B (원,번호,제목,축척)",,,,
,,,,112.0,축척,AN112,AN112-축척,○,,,AN112-축척 ,,,,
,,,,113.0,방위표,AN113,AN113-방위표,○,,,AN113-방위표 ,,,,
,,,,,,,AN113-방위표 ver.2,○,,,AN113-방위표 ver.2 ,,,,
,,,,114.0,기준점,AN114,AN114-건물 기준점,○,,,AN114-건물 기준점 ,,,,
,,120.0,"축선, 치수선",,,,,,,,,,,,
,,,,121.0,축열,AN121,AN121-축열,그리드,,,,,,,
,,,,,,,AN121-그리드 헤드 막대,○,,"(15mm, 상)","AN121-그리드 헤드 막대 (15mm, 상)",,,,
,,,,,,,,○,,"(15mm, 좌)","AN121-그리드 헤드 막대 (15mm, 좌)",,,,
,,,,,,,AN121-그리드 헤드 원형,○,,"(ø13, 상)","AN121-그리드 헤드 원형 (ø13, 상)",,,,
,,,,,,,,○,,"(ø13, 좌)","AN121-그리드 헤드 원형 (ø13, 좌)",,,,
,,,,,,,AN121-그리드,"선패턴
그리드",in,막대 (상),AN121-그리드 막대 (상),,,,
,,,,,,,,,in,막대 (상_연속),AN121-그리드 막대 (상_연속),,,,
,,,,,,,,,in,막대 (좌),AN121-그리드 막대 (좌),,,,
,,,,,,,,,in,원형 (상),AN121-그리드 원형 (상),,,,
,,,,,,,,,in,원형 (상_연속),AN121-그리드 원형 (상_연속),,,,
,,,,,,,,,in,원형 (좌),AN121-그리드 원형 (좌),,,,
,,,,122.0,치수선,AN122,AN122-치수선,치수,,,,,,,
,,,,,,,,,in,3mm 돋움 외곽치수 1단,AN122-치수선 3mm 돋움 외곽치수 1단,,,,
,,,,,,,,,in,3mm 돋움 외곽치수 2단,AN122-치수선 3mm 돋움 외곽치수 2단,,,,
,,,,,,,,,in,3mm 돋움 외곽치수 3단,AN122-치수선 3mm 돋움 외곽치수 3단,,,,
,,,,,,,,,in,"3mm 돋움 외곽치수 1단 (상,우측)","AN122-치수선 3mm 돋움 외곽치수 1단 (상,우측)",,,,
