분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
PF000-위생설비,,,,,,,,,,,E71,
PF100-대변기,,,,,,,,,,,E71210,
,110.0-동양식 대변기,,,,,,,,,,E71210,
,,111.0-동양식 변기,PF111,PF111-동양식 변기,○,,,PF111-동양식 변기 ,MHA11110010S,,E71210,유형에 사이즈 추가 (KS L 1551)
,,112.0-동양식 양용변기,PF112,PF112-동양식 양용변기,,,,PF112-동양식 양용변기 ,MHA11110010S,,E71210,
,,113.0-동양식 바닥위급수형 변기,PF113,PF113-동양식 바닥위급수형 변기,,,,PF113-동양식 바닥위급수형 변기 ,MHA11110010S,,E71210,
,,114.0-동양식 바닥위급수형 양용변기,PF114,PF114-동양식 바닥위급수형 양용변기,,,,PF114-동양식 바닥위급수형 양용변기 ,MHA11110010S,,E71210,
,,115.0-유아용 동양식 변기,PF115,PF115-유아용 동양식 변기,,,,PF115-유아용 동양식 변기 ,MHA122112000,,E71210,
,120.0-서양식 대변기,,,,,,,,,,E71210,
,,121.0-서양식 변기,PF121,PF121-서양식 변기,,,,PF121-서양식 변기 ,MHA11110020S,,E71210,
,,122.0-서양식 바닥위배수형 변기,PF122,PF122-서양식 바닥위배수형 변기,,,,PF122-서양식 바닥위배수형 변기 ,MHA11110020S,,E71210,
,,123.0-유아용 서양식 변기,PF123,PF123-유아용 서양식 변기,○,,,PF123-유아용 서양식 변기 ,MHA122112000,,E71210,
,,124.0-서양식 탱크밀결형,PF124,PF124-서양식 탱크밀결형,,,,PF124-서양식 탱크밀결형 ,MHA11110020S,,E71210,
,,125.0-서양식 벽걸이형,PF125,PF125-서양식 벽걸이형,○,,,PF125-서양식 벽걸이형 ,MHA11110020S,,E71210,
